mod,variable,y,drop_file,fill_append,id
M_Fixed,disap,y_disap,Drops_Fixed,fixed_disap,latent_disap_id
M_Fixed,kill,y_kill,Drops_Fixed,fixed_kill,latent_kill_id
M_Fixed,tort,y_tort,Drops_Fixed,fixed_tort,latent_tort_id
M_Fixed,amnesty,y_amnesty,Drops_Fixed,fixed_amnesty,latent_amnesty_id
M_Fixed,state,y_state,Drops_Fixed,fixed_state,latent_state_id
M_Fixed,hrw,y_hrw,Drops_Fixed,fixed_hrw,latent_hrw_id
M_Fixed,hathaway,y_hathaway,Drops_Fixed,fixed_hathaway,latent_hathaway_id
M_Fixed,polpris,y_POLPRIS,Drops_Fixed,fixed_polpris,latent_POLPRIS_id
M_Fixed,itt,y_ITT,Drops_Fixed,fixed_itt,latent_ITT_id
M_Fixed,genocide,y_genocide,Drops_Fixed,fixed_genocide,latent_genocide_id
M_Fixed,rummel,y_rummel,Drops_Fixed,fixed_rummel,latent_rummel_id
M_Fixed,massive_repression,y_massive_repression,Drops_Fixed,fixed_massive_repression,latent_massive_repression_id
M_Fixed,executions,y_executions,Drops_Fixed,fixed_executions,latent_executions_id
M_Fixed,negative_sanctions,y_negative_sanctions,Drops_Fixed,fixed_negative_sanctions,latent_negative_sanctions_id
M_Fixed,mass_killing,y_mass_killing,Drops_Fixed,fixed_mass_killing,latent_mass_killing_id
M_Fixed,killing_present,y_killing_present,Drops_Fixed,fixed_killing_present,latent_killing_present_id
M_All,disap,y_disap,Drops_All,all_disap,latent_disap_id
M_All,kill,y_kill,Drops_All,all_kill,latent_kill_id
M_All,tort,y_tort,Drops_All,all_tort,latent_tort_id
M_All,amnesty,y_amnesty,Drops_All,all_amnesty,latent_amnesty_id
M_All,state,y_state,Drops_All,all_state,latent_state_id
M_All,hrw,y_hrw,Drops_All,all_hrw,latent_hrw_id
M_All,hathaway,y_hathaway,Drops_All,all_hathaway,latent_hathaway_id
M_All,polpris,y_POLPRIS,Drops_All,all_polpris,latent_POLPRIS_id
M_All,itt,y_ITT,Drops_All,all_itt,latent_ITT_id
M_All,genocide,y_genocide,Drops_All,all_genocide,latent_genocide_id
M_All,rummel,y_rummel,Drops_All,all_rummel,latent_rummel_id
M_All,massive_repression,y_massive_repression,Drops_All,all_massive_repression,latent_massive_repression_id
M_All,executions,y_executions,Drops_All,all_executions,latent_executions_id
M_All,negative_sanctions,y_negative_sanctions,Drops_All,all_negative_sanctions,latent_negative_sanctions_id
M_All,mass_killing,y_mass_killing,Drops_All,all_mass_killing,latent_mass_killing_id
M_All,killing_present,y_killing_present,Drops_All,all_killing_present,latent_killing_present_id
M_Standards,disap,y_disap,Drops_Standards,standards_disap,latent_disap_id
M_Standards,kill,y_kill,Drops_Standards,standards_kill,latent_kill_id
M_Standards,tort,y_tort,Drops_Standards,standards_tort,latent_tort_id
M_Standards,amnesty,y_amnesty,Drops_Standards,standards_amnesty,latent_amnesty_id
M_Standards,state,y_state,Drops_Standards,standards_state,latent_state_id
M_Standards,hrw,y_hrw,Drops_Standards,standards_hrw,latent_hrw_id
M_Standards,hathaway,y_hathaway,Drops_Standards,standards_hathaway,latent_hathaway_id
M_Standards,polpris,y_POLPRIS,Drops_Standards,standards_polpris,latent_POLPRIS_id
M_Standards,itt,y_ITT,Drops_Standards,standards_itt,latent_ITT_id
M_Standards,genocide,y_genocide,Drops_Standards,standards_genocide,latent_genocide_id
M_Standards,rummel,y_rummel,Drops_Standards,standards_rummel,latent_rummel_id
M_Standards,massive_repression,y_massive_repression,Drops_Standards,standards_massive_repression,latent_massive_repression_id
M_Standards,executions,y_executions,Drops_Standards,standards_executions,latent_executions_id
M_Standards,negative_sanctions,y_negative_sanctions,Drops_Standards,standards_negative_sanctions,latent_negative_sanctions_id
M_Standards,mass_killing,y_mass_killing,Drops_Standards,standards_mass_killing,latent_mass_killing_id
M_Standards,killing_present,y_killing_present,Drops_Standards,standards_killing_present,latent_killing_present_id
